key,value
"Miscellaneous",84648438607
"Locally Stolen Motor Vehicles",47304840219
"Currency, Notes, etc.",20179746678
"Clothing and Furs",17118215106
"Consumable Goods",15098496496
"Household Goods",6139878971
"Televisions, Radios, Stereos, etc.",6037985693
"Jewelry and Precious Metals",3143235577
"Office Equipment",3078295893
"Firearms",2057900886
"Livestock",4160672
