OBJECTID,AREA_,PERIMETER,CLASS,AREA_ACRES,SHAPEAREA,SHAPELEN
150,27444742.1273,50602.94301,131,630,27444741.98238,50602.94236
151,45160241.31925,49941.62238,099,1037,45160240.92374,49941.622454
152,15662932.84423,20256.59624,118,360,15662932.98835,20256.596681
153,199449644.44279,93549.20599,149,4579,199449644.4012,93549.205261
154,46719703.40749,39479.53579,131,1073,46719703.24648,39479.535661
155,72030476.13238,64151.13485,098,1654,72030475.78268,64151.135949
156,262520051.84837,95466.03888,125,6027,262520052.50258,95466.038448
157,26423440.73202,25143.70094,126,607,26423440.85977,25143.700874
158,98755681.54883,54338.14009,102,2267,98755681.49904,54338.140246
159,17185006.63612,51169.14592,135,395,17185007.00673,51169.145633
160,131398581.69777,66999.67035,126,3016,131398582.13313,66999.671045
161,5944103.22224,11976.54364,135,136,5944103.31549,11976.543933
162,64299060.85503,58474.87599,130,1476,64299060.9906,58474.875803
163,21178341.68162,28125.68647,118,486,21178341.4158,28125.687083
164,8146365.2774,17037.78959,115,187,8146365.46416,17037.788967
165,106707662.82948,73548.64793,119,2450,106707662.80354,73548.648266
166,168416294.70088,91950.47666,126,3866,168416294.50616,91950.477726
167,37154739.45441,37938.80224,129,853,37154739.61915,37938.802611
168,7607581.86565,15660.78201,098,175,7607581.79914,15660.782353
169,76237789.29913,41382.10678,142,1750,76237789.3833,41382.107012
170,14608246.09354,39844.5951,135,335,14608245.79374,39844.594925
171,21223893.62577,37307.15358,118,487,21223893.29545,37307.15341
172,3445002.80841,9837.84282,137,79,3445002.90988,9837.842278
173,9003807.08446,17499.37143,134,207,9003806.98552,17499.371539
174,31640703.06404,40538.94753,099,726,31640702.79657,40538.946204
175,130789393.07717,83660.12996,127,3002,130789392.90712,83660.129332
176,54659832.02416,32830.09732,136,1255,54659831.87868,32830.096982
177,8349736.31287,16374.70649,129,192,8349736.21839,16374.706306
178,95595785.65072,54324.12402,106,2195,95595785.78151,54324.123626
179,80729930.39911,56021.59618,092,1853,80729930.35879,56021.595159
180,100399416.00392,70069.51789,145,2305,100399416.18083,70069.517988
181,181082827.56667,86089.63297,100,4157,181082827.36469,86089.632924
182,12805879.90309,21730.06791,146,294,12805880.00942,21730.068068
183,137377855.70421,84100.36603,147,3154,137377855.80989,84100.365943
184,25462880.21419,37021.09541,146,585,25462880.1192,37021.095737
185,52587751.61814,38222.01417,091,1207,52587751.71373,38222.014468
186,89368689.45952,77134.41772,144,2052,89368689.5953,77134.417403
187,20708122.64884,36788.85919,130,475,20708123.24942,36788.859355
188,19748586.62583,21276.00745,091,453,19748586.47592,21276.007166
189,384022558.04323,104697.15186,172,8816,384022557.88204,104697.152186
190,7024488.79338,19616.34794,146,161,7024488.79967,19616.348184
191,22701541.92418,45796.73448,118,521,22701541.67269,45796.734315
192,10635395.36022,17861.80565,098,244,10635395.13004,17861.805162
193,181161052.31703,83759.55698,126,4159,181161052.16786,83759.556721
194,13788845.83161,24754.46557,098,317,13788845.84597,24754.465687
195,226813832.28419,70857.09382,168,5207,226813831.99264,70857.093312
196,351265846.88175,82724.72458,087,8064,351265846.60198,82724.723976
197,1325606.61103,5431.13144,014,30,1325606.61696,5431.131495
198,1634016.31006,7455.8887,008,38,1634016.31966,7455.888348
199,1109308.80445,4693.63006,014,25,1109308.76986,4693.63043
200,853068.76797,3921.58529,014,20,853068.58801,3921.584833
201,983194704.01693,573541.93159,016,22571,983194703.54454,573541.93141
202,1223805585.467,382801.05026,015,28095,1223805584.72771,382801.050459
203,690505.1206,5614.29547,007,16,690505.11924,5614.295721
204,807320.5073,3885.06664,013,19,807320.52182,3885.066223
205,526714.7845,3795.2384,013,12,526714.78558,3795.238362
206,117382408.56903,139514.96805,018,2695,117382408.47779,139514.967044
207,1214433.53347,6261.09407,014,28,1214433.56725,6261.094003
208,10547124.54511,18361.95539,007,242,10547124.7329,18361.955692
